,hindi,predicted,test
1580,बुझायेगा,bujhaayega,bujhaayegaa
1581,कान्ह,kanh,kaanh
1582,घुमा,ghuma,ghuma
1583,गाता,gaata,gaataa
1584,मना,mana,mana
1585,ज़हरीला,zehralii,zahareela
1586,रह,raha,rah
1587,शिकस्ता,shikasta,shikastaa
1588,सुमा,suma,suma
1589,जलतरंग,jalatarang,jalatarang
1590,स्लीपीन,silepin,sleepin
1591,लहराता,lehraata,laharaata
1592,पकड़त,pakadat,pakadat
1593,बारीशों,baarishon,baarishon
1594,दुलहा,dulaha,dulha
1595,पहचानी,pahachaani,pahachaani
1596,बहिमाना,bahimaana,bahimaanaa
1597,ठीक,thi,thik
1598,कनीज़,kanie,kaniz
1599,बिसरा,bisara,bisara
1600,कदर,kadar,kadar
1601,दिलरुबाँ,dilrubaa,dilarubaan
1602,सुकूं,sukuun,sukun
1603,सदा,sada,sada
1604,बुलाए,bulaaye,bulae
1605,पुह्ल,puhal,puhl
1606,पुष्प,push,pushhp
1607,शोलों,sholon,sholo
1608,माई,maai,maai
1609,अधर,adhar,adhar
1610,रोगी,rogi,rogee
1611,सोनेवाले,sonevaale,sonewaale
1612,बुलाके,bulaake,bulaake
1613,डरूँगी,darungi,darungi
1614,तोरे,tore,tora
1615,निगाह,nigaah,nigah
1616,पड़ने,padane,padane
1617,घटेगा,ghatega,ghatega
1618,बावरी,baavari,baawaree
1619,नारों,naaron,naro
1620,लूटन,luutan,luutan
1621,मान,maan,maaf
1622,तेली,teli,teli
1623,पराया,paraya,paraaya
1624,सोऊँ,sooon,soun
1625,बिछड़ने,bichhadane,bichhadane
1626,सभ्य,sabha,sabhy
1627,बताएंगे,bataayenge,bataaenge
1628,नयना,nayana,nayana
1629,टोड़,toda,tod
1630,नेताजी,netaai,netaaji
1631,आया,aaya,aaja
1632,गरो,garo,garo
1633,डूबा,dubaa,duba
1634,लेहरों,leharon,laharon
1635,आज़माओ,aazamaao,aajamao
1636,चिलमनों,chilamanon,chilamanon
1637,सामान,samaan,saamaan
1638,जताओगे,jataaoge,jataaoge
1639,मन्चले,manchale,manchale
1640,मिटाता,mitaataa,mitatha
1641,चुराया,churaayaa,churaaya
1642,हुक़ूमत,huquumat,huqumat
1643,बताशे,bataashe,batashe
1644,काबू,kaabu,kaabo
1645,झुकाना,jhukaana,jhukaanaa
1646,बढ़कर,badhakar,badhakar
1647,छुटेगा,chhutega,chhutega
1648,जाग,jaag,jaaga
1649,बंजारा,banjaara,banjara
1650,बाँहों,baanhon,baanhen
1651,बदरी,badri,badari
1652,भीगे,bhige,bege
1653,कहूँगी,kahoongi,kahuungi
1654,तिरछी,tirachhi,tirachhi
1655,रोएँगे,roenge,royeinge
1656,खिलने,khilne,khilne
1657,मांगी,mangi,maagii
1658,परदेसी,paradesi,paradesi
1659,कुफ़्र,kufr,kufr
1660,राजगुरु,raajugru,raajaguru
1661,क़तलाँ,qatalaan,qatalaan
1662,चटोकन,chatokan,chatokan
1663,विपदा,vipada,vipadaa
1664,आँसू,aansu,aansu
1665,चप्पल,chapapal,chappal
1666,काबिल,kaabil,kaabil
1667,अंग्रेज़,angre,angrez
1668,गले,gale,galey
1669,बाइला,baila,baila
1670,हाट,haat,haat
1671,पर्दे,parde,parde
1672,डूबती,duubati,duubatii
1673,इतरा,itraa,itara
1674,पाऊँ,paaun,paayun
1675,जाओ,jaao,jaavo
1676,शेर,sher,sher
1677,विल,wil,vil
1678,साजन,saajan,sajaan
1679,छीने,chhine,chhine
1680,खिल,kil,khil
1681,तेरा,teraa,thera
1682,मीचे,meeche,miche
1683,रुकिये,rukiye,rukiya
1684,अदाएं,adaayen,adayen
1685,पीया,piyaa,piyaa
1686,कमर,kamar,kamar
1687,सँवारता,sanvaaraata,sanvarta
1688,जाऊं,jaaun,jaauun
1689,पूरा,pooraa,poora
1690,जलूँ,jaloon,jaluun
1691,हवाले,hawaale,havaale
1692,ज्योतवाली,jyotavaali,jyotawaali
1693,मुस्कानें,muskaane,muskane
1694,केकरतू,kekaratu,kekaratuu
1695,निनिप,nini,ninipa
1696,टिप्सी,tipis,tipsi
1697,देवता,devata,devtaa
1698,मारे,maare,mare
1699,दामालो,daamaalo,daamaalo
1700,वही,vahi,vohi
1701,पं,pan,pan
1702,सिखलाया,sikhalaaya,sikhalaaya
1703,नाज़नीन,naazanin,naazneen
1704,आपे,aape,aape
1705,पढ़े,padhe,padhe
1706,लूटेगा,luutega,lootega
1707,इनपे,inpe,inape
1708,ताली,tali,taali
1709,निकाला,nikaala,nikal
1710,बेकरारी,bekaraari,beqaraarii
1711,दरियाओं,dariyaayon,dariyaaon
1712,न्यारी,nayari,nyari
1713,झुकाइये,jhukaaiye,jhukaaiye
1714,सटाक,sataa,satak
1715,फाँकों,phaanko,phaankon
1716,मुसकुराती,muskuraat,musakuraati
1717,अफ़लातून,afalaatan,afalaatoon
1718,आस्तानों,aastaanon,aastaanon
1719,टाली,taali,taali
1720,बेरूह,beruh,berooh
1721,मुरारे,muraare,muraare
1722,जगत,jagat,jagata
1723,चुरा,chura,chehra
1724,घुला,ghula,gula
1725,असदुल्लाह,asadulala,asadullaah
1726,भुलाई,bhulaai,bhulaayi
1727,होशमंद,hoshamadan,hoshamand
1728,कदराँ,kadaraan,kadaraan
1729,पहनूं,pahanun,pahanuun
1730,बात,baat,baath
1731,खींचो,khincho,khincho
1732,राखे,raakhe,raakhe
1733,लिले,lile,lile
1734,तांगे,taange,taange
1735,निराधार,niradaar,niraadhaar
1736,नौजवाँ,naujawaan,naujavaan
1737,गहना,gehanaa,gehnaa
1738,करिये,kariye,kariye
1739,तारे,tare,thaare
1740,बंद,band,band
1741,बाएं,baayen,baaen
1742,वीरानों,veeraanon,wiraanon
1743,चमकाया,chamakaaya,chamkaaya
1744,आँधी,andhi,aandhi
1745,किसीको,kisiiko,kisiko
1746,बादशाह,baadashaa,badashaah
1747,जपता,japata,japta
1748,आँचलों,aanchalon,aanchalo
1749,संवार,sanvar,sanvaar
1750,कुम्हलयी,kumhalayi,kumhalayi
1751,महरबानी,meharabaani,maharabaani
1752,महिमा,mahima,mahimaa
1753,बेरियों,beriyon,beriyon
1754,बचेगा,bachega,bachega
1755,महक,mahak,mehak
1756,तेल,tel,tel
1757,लड़ेगा,ladega,ladega
1758,तड़पाएगा,tadapaayega,tadapaayega
1759,बोले,bole,bhole
1760,काबु,kabu,kaabu
1761,सूनी,suni,sooni
1762,दिला,dilaa,dila
1763,सम्हाल,samhaal,samhaal
1764,फ़रमाओगी,faramaaogi,farmaaogi
1765,बनाये,banaye,banaaye
1766,चले,chale,chalye
1767,मैया,maiya,maiyya
1768,मजबूर,majabur,majboor
1769,पुत्र,putr,putr
1770,सिमटने,simatane,simatne
1771,आज़ार,aazar,aazaar
1772,भिड़ा,bhida,bhida
1773,दहकती,dahakati,dahakati
1774,वफ़ादार,vafaadaara,vafaadaar
1775,नहलाऊँ,nahalaayuun,nahalaauun
1776,हुस्न,husn,husno
1777,सहूं,sahuun,sahoon
1778,गिरके,girake,girake
1779,बिता,bita,bitha
1780,दोराहों,doraahon,doraahon
1781,कुँवर,kunvar,kunvar
1782,हँसेगी,hansegi,hansegi
1783,लोचा,locha,locha
1784,बयन,bayan,bayan
1785,उगती,ugati,ugti
1786,खोलने,kholne,kholane
1787,तराने,taraane,taraane
1788,खाओगे,khaaoge,khaaoge
1789,सुलझाई,sulajhaai,suljhaai
1790,रहा,raha,rahan
1791,खामोशियों,khaamoshiyon,khamoshiyon
1792,कहा,kaha,kahaa
1793,रोनी,roni,roni
1794,छानता,chaanata,chhaanata
1795,बिछड़े,bichhde,bichde
1796,सुनू,sunu,sunu
1797,जानेवाले,jaanewaale,jaanewale
1798,दहला,dahala,dehlaa
1799,पिस्ता,pista,pishtaa
1800,सुनो,suno,suuno
1801,परेशाँ,pareshaan,pareshan
1802,सुनाएँगी,sunaayengi,sunaaengi
1803,रास्ता,rasta,rastaa
1804,पहनकर,pehnakar,pahanakar
1805,उड़ाऊँ,udaauun,udhaoon
1806,होंथों,honton,honthon
1807,लगाता,lagaata,lagaataa
1808,चुराऊँगा,churaunga,churaauunga
1809,जागी,jaagi,jaagi
1810,बाँकी,baanki,baaki
1811,च्छुपके,chhupake,chhupake
1812,मेहराँ,meharaan,mehraan
1813,नग़्में,nagmen,naghmen
1814,होंटों,honton,honton
1815,छोकरा,chhokara,chhokara
1816,चागया,chaagayaa,chaagaya
1817,शोलों,sholon,sholon
1818,बेवतनों,bevatanon,bevatnon
1819,रह,raha,rehe
1820,पिलाऊं,pilaaun,pilaaun
1821,रीछ,richa,rich
1822,दिखाकर,dikhaakar,dikhaakar
1823,बीतेगा,bitega,beetegaa
1824,हवाओं,hawaaon,hawao
1825,पंगा,pangaa,panga
1826,बसेरा,baseraa,basera
1827,रुह,ruh,rooh
1828,बरे,bare,bare
1829,कंजी,kanji,kanji
1830,बाती,baati,baatee
1831,बाँवरिया,baavariyaa,baanvariya
1832,कबीर,kabir,kabir
1833,पीछे,piche,peechhe
1834,बचानी,bachaani,bechaini
1835,चिल्लाते,chillaate,chillaate
1836,बिखरती,bikharati,bikharati
1837,पैया,paiyaa,paiyaa
1838,धुधुम,dhudhum,dudhum
1839,बचाएगी,bachaayegi,bachaayegi
1840,गाँव,gaavan,gaanw
1841,बरसातें,barasaate,barasaate
1842,साँवली,saanvali,sawali
1843,नोन,non,non
1844,तरु,taru,taru
1845,उगार,ugaar,ugaar
1846,डूबना,duubana,doobna
1847,सरगोशी,sargoshi,saragoshi
1848,बीतें,beeten,bitein
1849,चरकों,charakon,charakon
1850,इंतज़ाम,intezaam,intazaam
1851,छलकाया,chhalakaayaa,chhalkaya
1852,सावन,saavan,saavana
1853,बमबम,bamabam,bamabam
1854,ज़माना,zamanaa,zamaanaa
1855,फ़ासलों,faasalo,faasalon
1856,गुज़ारा,guzara,guzaraa
1857,काबिल,kaabil,qaabil
1858,मोय,moy,moy
1859,होना,honaa,hona
1860,लाने,lane,laane
1861,तड़पना,tadapana,tadapana
1862,सहारा,sahaaraa,sahaara
1863,खेतों,kheton,kheyton
1864,छोड़ूँगा,chhoduunga,chhodoonga
1865,हूँ,hoon,hoy
1866,करार,karaar,karar
1867,चुभाएं,chubhaaen,chubhaayen
1868,भोलपन,bholapan,bholapan
1869,मिलेगे,milega,milega
1870,बिंदिया,bindiyaa,bindiyaa
1871,रीत,reet,rit
1872,रहेंगे,rahenge,rahenge
1873,हँसने,hansane,hansane
1874,क़ातिलाना,qaatilaana,qatilaana
1875,कर,kar,kar
1876,विध्नेश्वर,vidhshvanre,vidhneshwar
1877,चाचा,chacha,chaacha
1878,डगमगाती,dagamagaati,dagamagaati
1879,स्वर,svar,swar
1880,देता,deta,detaa
1881,शोभतोबरा,shobabhatora,shobhatobara
1882,लुटता,lutata,lutatta
1883,हलो,halo,halo
1884,आँचरा,aanchara,aanchara
1885,मितवा,mitava,mitwaa
1886,अलादीन,alaadin,alladin
1887,भाभियाँ,bhabiyaan,bhaabhiyaan
1888,मतवाला,matwaala,matvaalaa
1889,जबां,jabaan,jabaan
1890,फुहारें,phuhaaren,phuhaaren
1891,अटरिया,atariyaa,atariyaa
1892,क्यूं,kyuun,kyun
1893,मौसमी,mausami,mausami
1894,सारे,saare,saaare
1895,मायूस,maayus,maayuus
1896,यकीन,yakin,yakiin
1897,हँसतों,hansaton,hanston
1898,समझाई,samjaai,samajhaaii
1899,अम्बर,ambar,ambar
1900,चितवत,chitavat,chitawat
1901,भागा,bhaaga,bhaaga
1902,फिरा,phira,phiraa
1903,जामुन,jaamun,jaamun
1904,उलझते,ulajhate,ulajhate
1905,बरसेगी,barasegi,barasegee
1906,निकालूँगा,nikaloonga,nikaalungaa
1907,बोई,boi,boyi
1908,बेड़ा,bedaa,beda
1909,दिखेगी,dikhegi,dikhegi
1910,जानूं,jaanu,jaanuun
1911,झूलों,jhoolon,julo
1912,बंधे,bandhe,bandhe
1913,हमनवा,hamnavaa,humnawah
1914,निभाऊँगी,nibhaaoongi,nibhaaungi
1915,भरमाकर,bharamaakar,bharamaakar
1916,रवानी,ravaani,ravaani
1917,तलवारें,talavaaren,talawaarein
1918,इनकार,inkaar,inakaar
1919,निखार,nikaah,nikhar
1920,सपनें,sapane,sapanein
1921,लकड़ी,lakdi,lakadi
1922,अन्जानी,anjaani,anjani
1923,होंटों,honton,honthon
1924,लल्ला,lalla,lalla
1925,ज़ुबानों,zubaanon,zubaanon
1926,सहमा,sehama,sahamaa
1927,अपुन,apun,appun
1928,लारे,lare,laare
1929,तिना,tina,tina
1930,भाएगा,bhaayega,bhaayega
1931,बसिया,basiya,basiya
1932,निराली,niraali,nirali
1933,कतरा,katara,katra
1934,पाणी,paani,paani
1935,सजाता,sajaata,sajaata
1936,रंगीलों,rangeelon,rangeelon
1937,पास,paas,paas
1938,उठाती,uthaati,uthati
1939,चवन्नी,chavanni,chavanni
1940,दिशाएँ,dishayen,dishaayen
1941,पेहली,pehali,pehali
1942,साहिल,saahil,saheel
1943,जाएँगी,jayengi,jaayegi
1944,जाऊँ,jaauun,jaoon
1945,किस्तों,kiston,kishto
1946,कहाँ,kahaan,kahaa
1947,दबाके,dabaake,dabaake
1948,पाना,paana,paana
1949,इक्कीस,ikkis,ikkis
1950,तपत,tapat,tapat
1951,तमाम,tamaam,tamam
1952,छुम,chham,chhum
1953,दुशाला,dushaalaa,dushaala
1954,सहोगी,sahogi,sahogi
1955,केंडी,kendi,kendi
1956,बिठाया,bhithaya,bithaaya
1957,अन्जान,anjaan,anjaan
1958,तुस्सी,tussi,tussi
1959,खिलाने,khilaane,khilaane
1960,माहियां,maahiyaan,maahiyaan
1961,टांग,taang,taang
1962,तिनका,tinka,tinaka
1963,वफ़ा,vafa,vafaa
1964,ऐत्बार,batar,aitbaar
1965,तमा,tama,tamaa
1966,सौदागर,saudaarag,saudagar
1967,हारे,haare,hare
1968,किरनों,kirano,kirnon
1969,तीस,tis,tees
1970,हरे,hare,hare
1971,राखत,raakhta,raakhat
1972,शानदार,shaandaar,shaanadaar
1973,चोटी,choti,choti
1974,आऊँगा,aaoonga,aavunga
1975,भटके,bhatke,bhatke
1976,निगाहों,nigaahon,nigaho
1977,पूरी,poori,purii
1978,जानूँ,jaanun,jaanun
1979,पनिगम,panigam,panigama
1980,लम्हा,lamha,lamhaa
1981,दीवानापन,deewaanapan,diwaanaapan
1982,चमकेगी,chamakegi,chamakegi
1983,सोचने,sochne,sochney
1984,जूम,joom,juum
1985,इल्लये,illaye,illaye
1986,लब,lab,labh
1987,सत्रह,satrah,satrah
1988,हँसना,hasana,hansanaa
1989,इंतजार,intjaar,intjar
1990,बैठें,baithen,baithein
1991,दादागीरी,daadagiri,daadaageeri
1992,उड़े,ude,ude
1993,उठेगी,uthegi,uthegi
1994,जावा,jaava,jaava
1995,जुलता,julta,julata
1996,पच्चिस,pachchis,pacchis
1997,पावों,paavon,paavon
1998,तुमपे,tumape,tumpe
1999,गिराएंगे,giraayenge,giraayenge
2000,राहें,raahen,raahen
2001,राति,raati,raati
2002,उसमे,usame,usme
2003,हिंदू,hindu,hindu
2004,मिलाऊँ,milaaoon,milaaoo
2005,चटक,chatak,chatak
2006,अजीब,ajii,ajeebsi
2007,अजाए,ajaaye,ajaye
2008,मसतानी,masataani,masataani
2009,राही,raahi,rahi
2010,शिकने,shikane,shikane
2011,खिल,kil,khila
2012,तेरो,tero,tero
2013,हँ,ha,han
2014,ढूँढेगी,dhundhegi,dhuundhegi
2015,मानता,maanaata,maanta
2016,हमसाया,humsaaya,hamasaya
2017,गरेबां,garebaan,garebaan
2018,खोई,koi,khoi
2019,दिन्से,dinse,dinse
2020,कसमसाती,kasamasaati,kasmasaati
2021,भाइयों,bhaaiyon,bhaayiyon
2022,बरसाने,barasaane,barasaane
2023,क्षयम,kshayam,kshayam
2024,दिस,dis,dis
2025,जगाए,jagaaye,jagaye
2026,चमकती,chamakati,chamakati
2027,वॉक,vok,walk
2028,ओढ़नी,odhani,odhani
2029,चलाई,chalaai,chalayi
2030,देवता,devata,devata
2031,सजाइले,sajaaile,sajaaile
2032,पहचानते,pahachaanate,pahchaante
2033,जाने,jaan,jaane
2034,तड़पें,tadpen,tadapen
2035,पिलाए,pilaaye,pilaae
2036,ज़ुल्मात,zulmaat,zulmaat
2037,निराले,niraale,neerale
2038,सेबों,sebon,sebon
2039,मारी,maari,marzi
2040,चंद्रहार,chandrahaar,chandrahaar
2041,हँसनी,hansin,hansni
2042,निन्दर,nindar,nindar
2043,अंखियाँ,ankhiyaan,ankhiyaan
2044,सुलेमान,sulemaan,sulemaan
2045,जनाज़ा,janaaza,janaazaa
2046,चोटियाँ,chotiyaan,chotiyaan
2047,बाला,bala,baala
2048,भात,bhat,bhaat
2049,दामिन,daamin,daamin
2050,पहला,pahalaa,phela
2051,गुड़िया,gudiyaa,gudiyaan
2052,गाये,gaaye,gaye
2053,निसदिन,nisadin,nisadin
2054,दुर्भाग्य,durbhaagay,durbhagya
2055,मरा,mara,mara
2056,कश्तियां,kashtiyaan,kashtiyaan
2057,जागा,jagaa,jaagaa
2058,तरसाए,tarasaaye,tarsaaye
2059,महँगा,mehnga,mahangaa
2060,बाँसुरी,baansuri,baansurii
2061,डगमगाना,dagamagaana,dagamagaana
2062,मिठी,miti,mithi
2063,जूड़े,jode,joode
2064,डूब,dubu,dub
2065,मुझे,mujhe,muze
2066,बेख्याल,bekhyala,bekhyaal
2067,मरेगी,maregi,maregi
2068,काम,kaam,kam
2069,लाज़मी,laazmi,laazami
2070,दूनिया,duniya,duuniya
2071,दावतें,daavaten,daawatein
2072,दुखों,dukho,dukhon
2073,चढ़ा,chadha,chada
2074,मेंहदी,menhadi,meinhadi
2075,उतरी,utri,utarii
2076,रुकती,rukti,rukti
2077,नीली,neeli,niilii
2078,दुष्कर्मों,dushkarmon,dushkarmon
2079,हवायें,hawaayen,havaayein
2080,जगमगाती,jagamagaati,jagamagaati
2081,कहूंगी,kahuungi,kahungi
2082,सिंगार,singaar,singhaar
2083,कुन्ज,kun,kunj
2084,उतनी,utani,utanii
2085,कब,kaba,kabh
2086,लगालो,lagaalo,lagaalo
2087,मिठे,mithe,mithe
2088,ताकत,taakat,taakat
2089,सोते,sote,sote
2090,घबराओ,ghabaraao,gabhrao
2091,दिलबरजानियां,dilbaraajiayana,dilabarajaaniyaan
2092,भांगड़ा,bhaangada,bhaangadaa
2093,बलिया,baliya,baliya
2094,तुम्हि,tumhi,tumhi
2095,गिराया,giraaya,giraaya
2096,बहाली,bahaali,bahaali
2097,मदहोशियों,madahosiyon,madhoshiyon
2098,मानता,maanaata,maanataa
2099,ज़ुबानें,zubaane,zubaanen
2100,बनावट,banaavat,banaawat
2101,चहके,chahake,chehake
2102,महबूबा,mahabuuba,mehbooba
2103,दिलबरजानी,dilbaraajin,dilabarajaani
2104,सहूँ,sahoon,sahoo
2105,ज़माने,zamane,jamaane
2106,ख़्वाबों,khwabon,khwaabo
2107,बचाता,bachaata,bachaata
2108,नाले,naale,nale
2109,गवा,gava,gava
2110,उभारा,ubhaara,ubhaara
2111,अभ,aba,ab
2112,मात,mat,maata
2113,मिटाते,mitaate,mitate
2114,दिलजलों,diljalon,dilajalon
2115,बुलाती,bulaati,bulaati
2116,वापस,vaapas,vapas
2117,सुना,suna,sunaa
2118,फ़सानो,fasaano,fasaano
2119,हमीं,hamin,hamin
2120,जताओ,jataao,jataao
2121,ज़िन्दा,zindaa,zinda
2122,दीवानगी,deewangi,diwanagi
2123,दिलाकर,dilakar,dilakar
2124,किसके,kisake,kiske
2125,भँवरा,bhanvara,bhanwaraa
2126,राहु,rahu,rahun
2127,नासमझ,naamasah,nasamajh
2128,पूचो,puchon,puucho
2129,मिटेंगे,mitenge,mithenge
2130,जलाए,jalaaye,jalaaye
2131,उलझी,ulajhi,uljhi
2132,जाऊँगा,jaauunga,jaayuunga
2133,साला,saalaa,sala
2134,वहीं,vahin,vahiin
2135,चकोरी,chakori,chakori
2136,बुझाए,bujhaaye,bujhaaye
2137,दीदार,didaar,didar
2138,पूरी,poori,puree
2139,नाराज़,naaraaz,naaraz
2140,तड़पाएँगे,tadapaayenge,tadapaayenge
2141,फुल,ful,phul
2142,हक़ीक़त,haqiiqat,haqiqat
2143,उमन्गों,umangan,umangon
2144,पाँव,paanv,paanv
2145,तिल,til,til
2146,हारा,haara,hara
2147,हुस्नवालो,husnavaalo,husnavaalon
2148,फ़िदा,fida,fidaa
2149,दूल्हा,doolha,duulhaa
2150,बसने,basne,basane
2151,रह,raha,reha
2152,टकराने,takaraane,takaraane
2153,खिलौनों,khilaunon,khilauno
2154,जाऊँगी,jaaoongi,jaaungi
2155,कहती,kahati,kehatee
2156,सादा,sada,saudaa
2157,दीवानी,deewaani,diwaani
2158,कम,kam,kam
2159,वोली,voli,voli
2160,रूठने,ruuthane,ruthane
2161,भागम,bhaagam,bhaagam
2162,वल्लाह,wallah,vallah
2163,मनमोर,manamor,manmor
2164,चाहतों,chahaton,chaahato
2165,लाली,laali,laali
2166,बुलायेगा,bulaayega,bulaayega
2167,मारूंगी,maarungi,maarungi
2168,भागी,bhaagi,bhagi
2169,तरसूँ,tarasun,tarasoon
2170,झुमका,jhumakaa,jhumaka
2171,पुरवैया,purvaiya,purawaiya
2172,प्याज,pyaaj,piyaaz
2173,बुज़ुर्गों,buzurgon,buzurgon
2174,डालूँगा,daaluunga,daalunga
2175,गायेंगे,gaayenge,gaayenge
2176,नीची,nich,niichii
2177,बेमिसाल,bemisal,bemisaal
2178,ठुकराओ,thukaraao,thukraao
2179,बेवफ़ा,bewaa,bewafa
2180,छाँव,chhaan,chaanv
2181,समझोगी,samjhogi,samajhogii
2182,सुक़ूँ,suquun,suqoon
2183,इनका,inkaa,inkaa
2184,अनखलियाँ,anakhaliyaan,atakheliyaan
2185,चमका,chamakaa,chamaka
2186,राधा,radaa,radha
2187,मू,mu,mu
2188,रेली,reli,reli
2189,उल्जहे,ulajhe,uljahe
2190,आसमां,aasamaan,aasman
2191,बुझाते,bujhaate,bujhaate
2192,होंठ,hont,hot
2193,तनहाईयों,tanahaaiyon,tanahaayiyon
2194,शिकारी,shikaar,shikari
2195,सरापा,saraaapa,saraapaa
2196,बैरिया,bairaya,bairiya
2197,रहती,rahti,rahatii
2198,अंजानी,anjaani,anjaani
2199,बताएँ,bataaye,bataaein
2200,झगड़ा,jagdaa,jhagda
2201,सेवक,sevak,sevak
2202,पछताए,pachhataaye,pachhtaaye
2203,बैठेंगे,baithenge,baithenge
2204,जुलमी,julami,julmi
2205,जलतरंग,jalatarang,jaltarang
2206,चढ़ाओ,chadhaao,chadhaao
2207,शर्माया,sharmaaya,sharmaaya
2208,तोड़ूं,toduun,toduun
2209,दबाया,dabaayaa,dabaaya
2210,मरें,maren,maren
2211,नसले,nasale,nasale
2212,मसलने,masalne,masalane
2213,मजबूरियाँ,majbooriyaan,majbooriyan
2214,चमेली,chameli,chameli
2215,अपने,apane,apanee
2216,बेशर्म,besharm,besharm
2217,मुसकाओ,musakaao,musakaao
2218,ख्यालात,khyaalaa,khayalaat
2219,स्जा,sja,sjaa
2220,महकाए,mahakaaye,mahakaaye
2221,खिल्लत,khillat,khillat
2222,पड़ा,padaa,padha
2223,छेडिस्तान,chhidestan,chhedistaan
2224,इकतारा,iktaaraa,ikataara
2225,हाल,haal,haala
2226,ग्वाला,gvaala,gvaalaa
2227,कूद,kud,kud
2228,पगले,pagale,pagle
2229,वार्ता,varta,vaarta
2230,ग़मों,gamon,gamon
2231,तुम्पे,tumpe,tumpe
2232,नार,naar,naar
2233,सीखा,sikhaa,sikha
2234,परवानो,paravaano,paravaano
2235,जिसमे,jisme,jisame
2236,बंजारों,banjaaron,banjaron
2237,हूं,huun,hun
2238,छुपोगे,chhupoge,chhupoge
2239,पुराओ,puraao,purao
2240,मनसूब,manasuub,mansoob
2241,वीरान,viraan,viiraan
2242,तूने,tuune,toone
2243,स्पने,spane,sapane
2244,बाँढ,baad,baandh
2245,काटूँ,kaatuun,kaatun
2246,कामयाब,kaamayaab,kaamiyaab
2247,जानके,jaanke,jaanke
2248,बांचते,baanchate,baanchate
2249,माझी,maaji,majhi
2250,उनकी,unki,unaki
2251,पुरवैया,purvaiya,puravaiya
2252,मुस्कुरायेंगी,muskuraayeng,muskuraayengi
2253,पुकारते,pukaarate,pukaarte
2254,बुझाने,bujhaane,bujhaane
2255,हाठों,haathon,haathon
2256,डूबे,dube,doobe
2257,अब,ab,abb
2258,नतीज़ा,natiza,natiza
2259,मनबसिया,manabaisan,manabasiyaa
2260,नज़ारे,nazare,nazarey
2261,चुल्ल्हे,chulhle,chullhe
2262,रहो,raho,raho
2263,उतानी,utaani,utaanii
2264,मतवाला,matwaala,matvaala
2265,काफिला,kaafilaa,kaafila
2266,साजन,saajan,saajana
2267,चूर,chuur,choor
2268,बन्जारन,banjaanra,banjaaran
2269,रहूँगी,rahuungi,rahuungi
2270,पकड़के,pakadake,pakadake
2271,मुसकुराने,muskuraane,musakuraane
2272,शिकारा,shikaaraa,shikara
2273,होशियारी,hoshiyaari,hoshiyaari
2274,मानो,maano,maano
2275,ज्योती,jyoti,jyotii
2276,पियवा,piyavaa,piyava
2277,कुके,kuke,kuke
2278,रहूं,rahuun,rahuun
2279,नौकरानी,naukaaraani,naukaraani
2280,बरसता,barasata,barasta
2281,संग्राम,sangraam,sangraam
2282,करुन,karun,karun
2283,हमारा,hamaara,humaara
2284,कमज़ोरों,kamazoron,kamazoron
2285,बतलाना,batalaana,batalaana
2286,बिखरे,bikhare,bhikre
2287,परसों,paraso,parson
2288,सुनाऊं,sunaaun,sunaauun
2289,जलके,jalke,jalake
2290,मुजरिम,mujarim,mujrim
2291,रहना,rahana,rahena
2292,गवारा,gavaara,gavaaraa
2293,सररारा,sararaara,sararara
2294,कहदो,kahado,kehdo
2295,तपी,tapi,tapee
2296,भगवान,bhagavaan,bhagwan
2297,उजड़ी,ujadi,ujadi
2298,नुपूरे,nupure,nupure
2299,आँचल,anchal,aanchal
2300,शर्माये,sharmaaye,sharmaaye
2301,बरसेगी,barasegi,barasegi
2302,वाहे,waahe,vaahe
2303,शायर,shaar,shaayar
2304,दिलबर,dilbar,dilbaar
2305,जानों,jaanon,janon
2306,पहलू,pahalu,pehloo
2307,दीवानगी,deewangi,deevaanagi
2308,सँवारे,sanvaare,sanware
2309,बहलाएगा,bahalaayega,behlayega
2310,जीतोगी,jeetogi,jeetogi
2311,ख्वाब,khava,khvaab
2312,वरदानी,varadaani,varadaani
2313,इठलाती,ithlaati,itlati
2314,बिल्लो,billo,billo
2315,दोहराये,doharaaye,dohraaye
2316,अजायबखाना,ajabaakhaayaan,ajaayabakhaana
2317,जीले,jile,jeele
2318,हारू,haaru,haaru
2319,डारि,daari,daari
2320,सन्देस,sandes,sandes
2321,एकान्त,ekanaa,ekaant
2322,केटे,kete,kete
2323,मासे,maase,maase
2324,रामायण,raamaayan,raamaayan
2325,धानी,dhaani,dhaani
2326,मंगदी,mangadi,mangdi
2327,नचाना,nachaana,nachaana
2328,चंदा,chanda,chandaa
2329,सानूं,saanun,saanuun
2330,धनवान,dhanwaan,dhanwan
2331,गलत,galat,galat
2332,पलती,palati,palati
2333,उभरते,ubharte,ubharate
2334,फ़रिक़ों,fariqon,fariqon
2335,तूफ़ान,tufaan,toofaan
2336,कुत्ते,kutte,kutte
2337,मेहमान,mehumaan,mehman
2338,पीपल,pipal,pipal
2339,क़ता,qataa,qata
2340,समाई,samaai,samayi
2341,डिगरी,digari,digari
2342,जादुकी,jaduki,jaduki
2343,ढूँढेंगे,dhundhenge,dhuundhenge
2344,प्रीत,prit,paaye
2345,घरवाला,gharvaala,gharavaalaa
2346,झाँझनों,jhaanjhanon,jhaanjhanon
